feature,chi2_score
Landroid/view/View;->performClick()Z,509.580942070682
Landroid/net/wifi/WifiManager;->getScanResults()Ljava/util/List;,508.8741506262702
Landroid/widget/RelativeLayout;-><init>(Landroid/content/Context;)V,505.5139572023308
Landroid/os/Parcel;->readValue(Ljava/lang/ClassLoader;)Ljava/lang/Object;,500.98444186920494
Landroid/widget/ImageView;->setImageURI(Landroid/net/Uri;)V,499.01552805653625
Landroid/support/v4/view/PagerTabStrip;->setTabIndicatorColorResource(I)V,498.3108599968737
Landroid/widget/ProgressBar;->setVisibility(I)V,496.6838321526519
Landroid/widget/ImageView;-><init>(Landroid/content/Context;)V,494.3349937089542
Landroid/graphics/drawable/ColorDrawable;-><init>(I)V,493.48213462299566
Landroid/support/v4/media/routing/MediaRouterJellybean$RouteInfo;->getVolumeMax(Ljava/lang/Object;)I,492.2037507757931
Landroid/text/Layout;->getLineWidth(I)F,490.028930551193
Landroid/webkit/WebView;->setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V,483.5303681071488
Landroid/support/v4/view/PagerTitleStrip;-><init>(Landroid/content/Context;)V,480.64821107706473
Landroid/view/View;->invalidate(Landroid/graphics/Rect;)V,479.7874820704718
